data;

param num_top:=15;

#nodes and edges of the physical network
param n := 23;

set E := (1,2) (1,3) (1,4) (1,5) (1,6) (2,3) (2,8) (3,13) (3,9) (4,5) (4,13) (4,14) (4,16) (5,16) (5,18) (6,7) (6,18) (7,8) (7,21) (7,22) (7,23) (8,23) (9,10) (9,11) (9,13) (10,11) (10,12) (10,13) (11,12) (12,13) (12,15) (14,15) (14,20) (15,20) (16,17) (16,19) (16,20) (17,18) (17,19) (18,21) (19,20) (21,22) (22,23) ;

#nodes and edges of the virtual networks
set Nl[1] := 9 10 12 19 23;
set Nl[2] := 3 7 9 17 22;
set Nl[3] := 3 7 11 13 23;
set Nl[4] := 2 4 11 15 19;
set Nl[5] := 2 3 6 13 16;
set Nl[6] := 3 6 7 10 17;
set Nl[7] := 9 12 17 21 23;
set Nl[8] := 8 9 16 21 23;
set Nl[9] := 11 13 14 17 18;
set Nl[10] := 7 10 13 21 23;
set Nl[11] := 7 10 13 21 22;
set Nl[12] := 3 4 9 17 19;
set Nl[13] := 3 4 9 10 21;
set Nl[14] := 4 5 7 22 23;
set Nl[15] := 1 11 14 20 23;

set El[1] := (9,10) (10,23) (19,23) (12,19) (9,12);
set El[2] := (3,7) (7,22) (17,22) (9,17) (3,9);
set El[3] := (3,7) (7,23) (13,23) (11,13) (3,11);
set El[4] := (2,4) (4,19) (15,19) (11,15) (2,11);
set El[5] := (2,3) (3,16) (13,16) (6,13) (2,6);
set El[6] := (3,6) (6,17) (10,17) (7,10) (3,7);
set El[7] := (9,12) (12,23) (21,23) (17,21) (9,17);
set El[8] := (8,16) (9,16) (9,21) (21,23) (8,23);
set El[9] := (11,13) (13,18) (17,18) (14,17) (11,14);
set El[10] := (7,13) (10,13) (10,21) (21,23) (7,23);
set El[11] := (7,13) (10,13) (10,21) (21,22) (7,22);
set El[12] := (3,4) (4,19) (17,19) (9,17) (3,9);
set El[13] := (3,4) (4,21) (10,21) (9,10) (3,9);
set El[14] := (4,5) (5,23) (22,23) (7,22) (4,7);
set El[15] := (1,11) (11,23) (20,23) (14,20) (1,14);
