data;

param num_top:=6;

#nodes and edges of the physical network
param n := 23;

set E := (1,2) (1,3) (1,4) (1,5) (1,6) (2,3) (2,8) (3,13) (3,9) (4,5) (4,13) (4,14) (4,16) (5,16) (5,18) (6,7) (6,18) (7,8) (7,21) (7,22) (7,23) (8,23) (9,10) (9,11) (9,13) (10,11) (10,12) (10,13) (11,12) (12,13) (12,15) (14,15) (14,20) (15,20) (16,17) (16,19) (16,20) (17,18) (17,19) (18,21) (19,20) (21,22) (22,23) ;

#nodes and edges of the virtual networks
set Nl[1] := 7 2 13 16 17 12 ;
set Nl[2] := 21 7 20 5 11 6 ;
set Nl[3] := 1 13 19 3 6 22 ;
set Nl[4] := 23 18 5 19 9 6 ;
set Nl[5] := 6 1 19 4 17 22 ;
set Nl[6] := 20 1 12 14 15 9 ;

set El[1] := (2,7) (2,13) (13,16) (16,17) (12,17) (7,12) ;
set El[2] := (7,21) (7,20) (5,20) (5,11) (6,11) (6,21) ;
set El[3] := (1,13) (13,19) (3,19) (3,6) (6,22) (1,22) ;
set El[4] := (18,23) (5,18) (5,19) (9,19) (6,9) (6,23) ;
set El[5] := (1,6) (1,19) (4,19) (4,17) (17,22) (6,22) ;
set El[6] := (1,20) (1,12) (12,14) (14,15) (9,15) (9,20) ;
