data;

param num_top:=12;

#nodes and edges of the physical network
param n := 23;

set E := (1,2) (1,3) (1,4) (1,5) (1,6) (2,3) (2,8) (3,13) (3,9) (4,5) (4,13) (4,14) (4,16) (5,16) (5,18) (6,7) (6,18) (7,8) (7,21) (7,22) (7,23) (8,23) (9,10) (9,11) (9,13) (10,11) (10,12) (10,13) (11,12) (12,13) (12,15) (14,15) (14,20) (15,20) (16,17) (16,19) (16,20) (17,18) (17,19) (18,21) (19,20) (21,22) (22,23) ;

#nodes and edges of the virtual networks
set Nl[1] := 1 3 9 15 18 21;
set Nl[2] := 1 3 8 17 18 22;
set Nl[3] := 6 11 13 14 17 19;
set Nl[4] := 4 5 8 12 19 21;
set Nl[5] := 2 14 16 18 22 23;
set Nl[6] := 5 11 12 14 20 22;
set Nl[7] := 3 6 9 11 16 19;
set Nl[8] := 1 3 5 9 11 18;
set Nl[9] := 3 4 11 14 16 19;
set Nl[10] := 2 8 9 21 22 23;
set Nl[11] := 1 9 11 12 14 19;
set Nl[12] := 5 8 9 15 20 23;

set El[1] := (1,15) (3,15) (3,18) (9,18) (9,21) (1,21) (15,21) (15,18) (3,9);
set El[2] := (1,17) (3,17) (3,18) (8,18) (8,22) (1,22) (3,22) (1,18) (18,22);
set El[3] := (6,11) (11,13) (13,14) (14,17) (17,19) (6,19) (6,17) (6,13) (6,14);
set El[4] := (4,12) (5,12) (5,19) (8,19) (8,21) (4,21) (19,21) (8,12) (12,21);
set El[5] := (2,14) (14,16) (16,18) (18,22) (22,23) (2,23) (2,16) (16,23) (16,22);
set El[6] := (5,14) (11,14) (11,20) (12,20) (12,22) (5,22) (14,20) (20,22) (5,12);
set El[7] := (3,11) (6,11) (6,16) (9,16) (9,19) (3,19) (6,19) (3,6) (6,9);
set El[8] := (1,9) (3,9) (3,11) (5,11) (5,18) (1,18) (11,18) (9,11) (1,5);
set El[9] := (3,4) (4,11) (11,14) (14,16) (16,19) (3,19) (4,16) (11,16) (4,19);
set El[10] := (2,9) (9,22) (22,23) (8,23) (8,21) (2,21) (9,23) (8,9) (2,23);
set El[11] := (1,12) (9,12) (9,14) (11,14) (11,19) (1,19) (9,19) (12,14) (1,11);
set El[12] := (5,15) (9,15) (9,23) (8,23) (8,20) (5,20) (20,23) (5,8) (8,9);
