data;

param num_top:=24;

#nodes and edges of the physical network
param n := 23;

set E := (1,2) (1,3) (1,4) (1,5) (1,6) (2,3) (2,8) (3,13) (3,9) (4,5) (4,13) (4,14) (4,16) (5,16) (5,18) (6,7) (6,18) (7,8) (7,21) (7,22) (7,23) (8,23) (9,10) (9,11) (9,13) (10,11) (10,12) (10,13) (11,12) (12,13) (12,15) (14,15) (14,20) (15,20) (16,17) (16,19) (16,20) (17,18) (17,19) (18,21) (19,20) (21,22) (22,23) ;

#nodes and edges of the virtual networks
set Nl[1] := 3 4 12 15 18 21;
set Nl[2] := 1 10 11 18 21 23;
set Nl[3] := 2 9 11 14 22 23;
set Nl[4] := 4 8 10 11 17 22;
set Nl[5] := 4 6 9 10 13 18;
set Nl[6] := 1 4 8 15 20 22;
set Nl[7] := 2 12 13 14 18 21;
set Nl[8] := 10 15 16 17 22 23;
set Nl[9] := 2 4 7 11 13 23;
set Nl[10] := 4 10 12 14 17 20;
set Nl[11] := 2 3 10 11 17 19;
set Nl[12] := 7 8 11 14 19 23;
set Nl[13] := 3 4 8 11 12 15;
set Nl[14] := 2 3 9 11 14 21;
set Nl[15] := 6 11 13 16 20 21;
set Nl[16] := 3 9 14 19 20 23;
set Nl[17] := 1 6 7 10 17 20;
set Nl[18] := 4 8 10 18 19 22;
set Nl[19] := 1 12 17 18 19 20;
set Nl[20] := 1 6 8 14 15 19;
set Nl[21] := 2 4 11 14 16 20;
set Nl[22] := 7 9 11 12 16 21;
set Nl[23] := 7 10 13 17 18 19;
set Nl[24] := 5 6 10 12 14 20;

set El[1] := (3,4) (4,12) (12,15) (15,18) (18,21) (3,21) (12,21) (3,12) (15,21) (12,18) (3,15) (4,21) (4,18) (3,18) (4,15);
set El[2] := (1,10) (10,11) (11,18) (18,21) (21,23) (1,23) (10,23) (1,11) (1,18) (18,23) (11,21) (1,21) (10,21) (10,18) (11,23);
set El[3] := (2,9) (9,11) (11,14) (14,22) (22,23) (2,23) (9,22) (2,22) (9,14) (14,23) (11,22) (11,23) (2,11) (2,14) (9,23);
set El[4] := (4,11) (10,11) (10,22) (8,22) (8,17) (4,17) (4,22) (11,17) (4,8) (8,10) (11,22) (8,11) (17,22) (4,10) (10,17);
set El[5] := (4,10) (6,10) (6,13) (9,13) (9,18) (4,18) (10,13) (13,18) (10,18) (9,10) (4,13) (6,18) (4,9) (6,9) (4,6);
set El[6] := (1,15) (4,15) (4,20) (8,20) (8,22) (1,22) (15,22) (4,22) (15,20) (4,8) (1,8) (1,4) (8,15) (1,20) (20,22);
set El[7] := (2,12) (12,13) (13,14) (14,18) (18,21) (2,21) (12,21) (13,21) (2,14) (2,18) (14,21) (12,18) (2,13) (12,14) (13,18);
set El[8] := (10,15) (15,16) (16,17) (17,22) (22,23) (10,23) (16,22) (16,23) (15,23) (10,16) (15,17) (10,17) (15,22) (10,22) (17,23);
set El[9] := (2,11) (4,11) (4,13) (7,13) (7,23) (2,23) (11,13) (7,11) (2,13) (4,23) (2,4) (11,23) (4,7) (2,7) (13,23);
set El[10] := (4,10) (10,12) (12,14) (14,17) (17,20) (4,20) (4,14) (12,20) (4,12) (10,20) (10,14) (14,20) (4,17) (12,17) (10,17);
set El[11] := (2,11) (3,11) (3,17) (10,17) (10,19) (2,19) (3,10) (3,19) (2,10) (17,19) (10,11) (11,17) (11,19) (2,3) (2,17);
set El[12] := (7,8) (8,11) (11,14) (14,19) (19,23) (7,23) (14,23) (7,11) (7,14) (11,19) (8,23) (8,19) (7,19) (8,14) (11,23);
set El[13] := (3,4) (4,8) (8,11) (11,12) (12,15) (3,15) (8,15) (3,8) (8,12) (4,15) (4,11) (11,15) (3,11) (4,12) (3,12);
set El[14] := (2,11) (3,11) (3,14) (9,14) (9,21) (2,21) (9,11) (3,21) (2,3) (3,9) (14,21) (11,14) (11,21) (2,14) (2,9);
set El[15] := (6,16) (11,16) (11,20) (13,20) (13,21) (6,21) (11,13) (20,21) (11,21) (6,13) (16,20) (6,11) (13,16) (6,20) (16,21);
set El[16] := (3,19) (9,19) (9,20) (14,20) (14,23) (3,23) (3,20) (19,20) (3,9) (14,19) (9,23) (20,23) (9,14) (3,14) (19,23);
set El[17] := (1,10) (6,10) (6,17) (7,17) (7,20) (1,20) (1,6) (6,20) (10,20) (6,7) (1,17) (7,10) (1,7) (10,17) (17,20);
set El[18] := (4,18) (10,18) (10,22) (8,22) (8,19) (4,19) (4,10) (8,10) (4,8) (19,22) (18,19) (18,22) (4,22) (8,18) (10,19);
set El[19] := (1,18) (12,18) (12,19) (17,19) (17,20) (1,20) (1,17) (18,20) (12,20) (1,12) (17,18) (12,17) (19,20) (18,19) (1,19);
set El[20] := (1,6) (6,8) (8,14) (14,15) (15,19) (1,19) (8,19) (1,8) (6,19) (14,19) (1,15) (8,15) (6,15) (6,14) (1,14);
set El[21] := (2,4) (4,11) (11,14) (14,16) (16,20) (2,20) (2,16) (14,20) (11,16) (4,14) (4,16) (11,20) (2,11) (4,20) (2,14);
set El[22] := (7,12) (9,12) (9,16) (11,16) (11,21) (7,21) (16,21) (12,16) (12,21) (7,11) (11,12) (9,11) (7,9) (9,21) (7,16);
set El[23] := (7,10) (10,13) (13,17) (17,18) (18,19) (7,19) (10,17) (13,19) (7,18) (10,18) (17,19) (7,17) (7,13) (13,18) (10,19);
set El[24] := (5,12) (6,12) (6,14) (10,14) (10,20) (5,20) (6,20) (10,12) (5,14) (12,20) (5,10) (5,6) (6,10) (12,14) (14,20);
