data;

param num_top:=24;

#nodes and edges of the physical network
param n := 23;

set E := (1,2) (1,3) (1,4) (1,5) (1,6) (2,3) (2,8) (3,13) (3,9) (4,5) (4,13) (4,14) (4,16) (5,16) (5,18) (6,7) (6,18) (7,8) (7,21) (7,22) (7,23) (8,23) (9,10) (9,11) (9,13) (10,11) (10,12) (10,13) (11,12) (12,13) (12,15) (14,15) (14,20) (15,20) (16,17) (16,19) (16,20) (17,18) (17,19) (18,21) (19,20) (21,22) (22,23) ;

#nodes and edges of the virtual networks
set Nl[1] := 5 8 12 19 21 22;
set Nl[2] := 6 7 8 10 13 16;
set Nl[3] := 1 6 7 14 16 23;
set Nl[4] := 1 2 12 17 18 22;
set Nl[5] := 3 5 7 8 14 22;
set Nl[6] := 1 8 10 14 15 21;
set Nl[7] := 1 3 9 11 15 18;
set Nl[8] := 8 10 12 13 16 18;
set Nl[9] := 5 6 11 18 20 22;
set Nl[10] := 3 9 14 18 20 23;
set Nl[11] := 3 4 5 10 11 16;
set Nl[12] := 4 5 6 9 15 16;
set Nl[13] := 3 6 8 13 15 19;
set Nl[14] := 2 5 6 14 22 23;
set Nl[15] := 3 4 5 6 8 21;
set Nl[16] := 3 6 7 11 21 23;
set Nl[17] := 1 3 4 10 13 18;
set Nl[18] := 4 12 15 17 22 23;
set Nl[19] := 2 3 6 8 16 20;
set Nl[20] := 3 5 7 9 16 17;
set Nl[21] := 7 11 13 14 18 23;
set Nl[22] := 4 6 7 8 9 22;
set Nl[23] := 3 13 18 19 22 23;
set Nl[24] := 8 12 13 16 17 19;

set El[1] := (5,12) (12,22) (21,22) (8,21) (8,19) (5,19);
set El[2] := (6,7) (7,8) (8,10) (10,13) (13,16) (6,16);
set El[3] := (1,14) (6,14) (6,16) (7,16) (7,23) (1,23);
set El[4] := (1,2) (2,12) (12,17) (17,18) (18,22) (1,22);
set El[5] := (3,7) (7,22) (8,22) (5,8) (5,14) (3,14);
set El[6] := (1,10) (10,14) (14,21) (8,21) (8,15) (1,15);
set El[7] := (1,11) (3,11) (3,15) (9,15) (9,18) (1,18);
set El[8] := (8,13) (10,13) (10,16) (12,16) (12,18) (8,18);
set El[9] := (5,18) (6,18) (6,20) (11,20) (11,22) (5,22);
set El[10] := (3,18) (9,18) (9,20) (14,20) (14,23) (3,23);
set El[11] := (3,10) (4,10) (4,11) (5,11) (5,16) (3,16);
set El[12] := (4,9) (5,9) (5,15) (6,15) (6,16) (4,16);
set El[13] := (3,13) (6,13) (6,15) (8,15) (8,19) (3,19);
set El[14] := (2,5) (5,6) (6,14) (14,22) (22,23) (2,23);
set El[15] := (3,4) (4,5) (5,6) (6,8) (8,21) (3,21);
set El[16] := (3,11) (6,11) (6,21) (7,21) (7,23) (3,23);
set El[17] := (1,10) (3,10) (3,13) (4,13) (4,18) (1,18);
set El[18] := (4,12) (12,15) (15,17) (17,22) (22,23) (4,23);
set El[19] := (2,3) (3,6) (6,8) (8,16) (16,20) (2,20);
set El[20] := (3,9) (5,9) (5,16) (7,16) (7,17) (3,17);
set El[21] := (7,14) (11,14) (11,18) (13,18) (13,23) (7,23);
set El[22] := (4,7) (7,22) (8,22) (6,8) (6,9) (4,9);
set El[23] := (3,13) (13,18) (18,19) (19,22) (22,23) (3,23);
set El[24] := (8,12) (12,13) (13,16) (16,17) (17,19) (8,19);
