data;

param num_top:=18;

#nodes and edges of the physical network
param n := 23;

set E := (1,2) (1,3) (1,4) (1,5) (1,6) (2,3) (2,8) (3,13) (3,9) (4,5) (4,13) (4,14) (4,16) (5,16) (5,18) (6,7) (6,18) (7,8) (7,21) (7,22) (7,23) (8,23) (9,10) (9,11) (9,13) (10,11) (10,12) (10,13) (11,12) (12,13) (12,15) (14,15) (14,20) (15,20) (16,17) (16,19) (16,20) (17,18) (17,19) (18,21) (19,20) (21,22) (22,23) ;

#nodes and edges of the virtual networks
set Nl[1] := 1 2 4 7 14 17;
set Nl[2] := 6 7 8 16 18 23;
set Nl[3] := 2 4 7 12 18 19;
set Nl[4] := 1 2 3 5 6 11;
set Nl[5] := 7 10 13 14 15 16;
set Nl[6] := 2 3 12 15 17 18;
set Nl[7] := 1 6 9 10 15 21;
set Nl[8] := 2 10 12 16 20 21;
set Nl[9] := 4 14 15 18 21 22;
set Nl[10] := 1 6 7 15 22 23;
set Nl[11] := 11 13 14 17 18 23;
set Nl[12] := 1 4 7 9 17 19;
set Nl[13] := 1 2 3 4 18 21;
set Nl[14] := 4 8 9 17 18 23;
set Nl[15] := 3 10 11 19 20 21;
set Nl[16] := 2 5 17 18 21 23;
set Nl[17] := 1 2 5 10 18 23;
set Nl[18] := 4 7 9 11 12 14;

set El[1] := (1,7) (2,7) (2,14) (4,14) (4,17) (1,17) (2,4) (2,17);
set El[2] := (6,16) (8,16) (8,23) (7,23) (7,18) (6,18) (18,23) (8,18);
set El[3] := (2,12) (4,12) (4,18) (7,18) (7,19) (2,19) (2,18) (2,7);
set El[4] := (1,5) (2,5) (2,6) (3,6) (3,11) (1,11) (1,3) (1,6);
set El[5] := (7,10) (10,13) (13,14) (14,15) (15,16) (7,16) (13,15) (7,15);
set El[6] := (2,3) (3,12) (12,15) (15,17) (17,18) (2,18) (12,17) (12,18);
set El[7] := (1,10) (6,10) (6,15) (9,15) (9,21) (1,21) (1,6) (15,21);
set El[8] := (2,10) (10,12) (12,16) (16,20) (20,21) (2,21) (2,20) (2,16);
set El[9] := (4,14) (14,15) (15,18) (18,21) (21,22) (4,22) (4,18) (14,22);
set El[10] := (1,15) (6,15) (6,22) (7,22) (7,23) (1,23) (6,7) (1,22);
set El[11] := (11,13) (13,14) (14,17) (17,18) (18,23) (11,23) (11,14) (11,18);
set El[12] := (1,9) (4,9) (4,17) (7,17) (7,19) (1,19) (1,7) (1,17);
set El[13] := (1,2) (2,3) (3,4) (4,18) (18,21) (1,21) (2,21) (2,4);
set El[14] := (4,17) (9,17) (9,23) (8,23) (8,18) (4,18) (4,8) (8,9);
set El[15] := (3,10) (10,11) (11,19) (19,20) (20,21) (3,21) (10,21) (19,21);
set El[16] := (2,5) (5,17) (17,18) (18,21) (21,23) (2,23) (5,23) (2,18);
set El[17] := (1,10) (5,10) (5,23) (2,23) (2,18) (1,18) (1,2) (18,23);
set El[18] := (4,7) (7,9) (9,11) (11,12) (12,14) (4,14) (4,12) (9,14);
