data;

param num_top:=24;

#nodes and edges of the physical network
param n := 23;

set E := (1,2) (1,3) (1,4) (1,5) (1,6) (2,3) (2,8) (3,13) (3,9) (4,5) (4,13) (4,14) (4,16) (5,16) (5,18) (6,7) (6,18) (7,8) (7,21) (7,22) (7,23) (8,23) (9,10) (9,11) (9,13) (10,11) (10,12) (10,13) (11,12) (12,13) (12,15) (14,15) (14,20) (15,20) (16,17) (16,19) (16,20) (17,18) (17,19) (18,21) (19,20) (21,22) (22,23) ;

#nodes and edges of the virtual networks
set Nl[1] := 3 10 16 18 19 22;
set Nl[2] := 5 6 9 10 13 23;
set Nl[3] := 3 4 5 9 14 17;
set Nl[4] := 1 5 7 12 18 20;
set Nl[5] := 2 7 10 19 20 22;
set Nl[6] := 2 11 12 15 16 21;
set Nl[7] := 12 14 17 18 21 22;
set Nl[8] := 9 11 14 16 19 20;
set Nl[9] := 1 15 16 20 22 23;
set Nl[10] := 5 11 16 20 21 23;
set Nl[11] := 9 13 17 19 20 21;
set Nl[12] := 5 8 15 17 19 21;
set Nl[13] := 3 5 7 13 15 22;
set Nl[14] := 1 3 8 10 12 16;
set Nl[15] := 9 12 13 14 17 22;
set Nl[16] := 1 2 4 10 11 16;
set Nl[17] := 5 8 13 18 20 21;
set Nl[18] := 6 8 11 17 18 21;
set Nl[19] := 6 8 9 11 16 22;
set Nl[20] := 3 15 16 20 21 23;
set Nl[21] := 1 5 8 9 11 19;
set Nl[22] := 2 3 5 15 18 23;
set Nl[23] := 1 5 15 21 22 23;
set Nl[24] := 1 2 3 14 16 17;

set El[1] := (3,18) (10,18) (10,19) (16,19) (16,22) (3,22) (19,22) (16,18) (18,22) (18,19) (3,16) (10,16);
set El[2] := (5,10) (6,10) (6,13) (9,13) (9,23) (5,23) (10,23) (5,13) (6,23) (6,9) (13,23) (9,10);
set El[3] := (3,9) (4,9) (4,14) (5,14) (5,17) (3,17) (9,17) (3,14) (3,4) (4,5) (4,17) (3,5);
set El[4] := (1,12) (5,12) (5,18) (7,18) (7,20) (1,20) (12,20) (12,18) (1,5) (7,12) (1,7) (5,20);
set El[5] := (2,19) (10,19) (10,22) (7,22) (7,20) (2,20) (7,19) (10,20) (2,22) (19,20) (20,22) (7,10);
set El[6] := (2,11) (11,12) (12,15) (15,16) (16,21) (2,21) (2,12) (2,15) (12,16) (11,16) (15,21) (12,21);
set El[7] := (12,14) (14,17) (17,18) (18,21) (21,22) (12,22) (12,17) (17,21) (14,18) (18,22) (17,22) (14,22);
set El[8] := (9,11) (11,14) (14,16) (16,19) (19,20) (9,20) (11,19) (9,16) (14,19) (9,14) (11,16) (14,20);
set El[9] := (1,15) (15,16) (16,20) (20,22) (22,23) (1,23) (1,20) (15,23) (20,23) (16,22) (1,22) (16,23);
set El[10] := (5,11) (11,16) (16,20) (20,21) (21,23) (5,23) (16,23) (16,21) (5,20) (5,21) (5,16) (11,20);
set El[11] := (9,19) (13,19) (13,20) (17,20) (17,21) (9,21) (9,17) (13,21) (17,19) (20,21) (9,20) (9,13);
set El[12] := (5,17) (15,17) (15,21) (8,21) (8,19) (5,19) (8,15) (5,15) (8,17) (19,21) (5,8) (17,21);
set El[13] := (3,13) (5,13) (5,15) (7,15) (7,22) (3,22) (5,22) (15,22) (7,13) (5,7) (3,7) (3,15);
set El[14] := (1,3) (3,8) (8,10) (10,12) (12,16) (1,16) (1,12) (3,16) (8,12) (10,16) (8,16) (1,10);
set El[15] := (9,12) (12,13) (13,14) (14,17) (17,22) (9,22) (13,17) (9,17) (12,22) (9,13) (12,17) (12,14);
set El[16] := (1,10) (2,10) (2,11) (4,11) (4,16) (1,16) (10,16) (2,16) (1,2) (11,16) (10,11) (1,4);
set El[17] := (5,18) (13,18) (13,21) (8,21) (8,20) (5,20) (13,20) (5,13) (8,18) (18,20) (8,13) (5,8);
set El[18] := (6,11) (11,17) (17,21) (8,21) (8,18) (6,18) (6,21) (18,21) (11,21) (6,17) (8,17) (11,18);
set El[19] := (6,11) (9,11) (9,22) (8,22) (8,16) (6,16) (8,11) (16,22) (11,16) (9,16) (8,9) (6,9);
set El[20] := (3,15) (15,16) (16,20) (20,21) (21,23) (3,23) (3,21) (15,21) (16,21) (16,23) (20,23) (3,16);
set El[21] := (1,9) (5,9) (5,11) (8,11) (8,19) (1,19) (9,11) (5,8) (8,9) (5,19) (9,19) (11,19);
set El[22] := (2,15) (3,15) (3,18) (5,18) (5,23) (2,23) (2,5) (15,18) (5,15) (3,5) (2,3) (2,18);
set El[23] := (1,5) (5,15) (15,21) (21,22) (22,23) (1,23) (21,23) (15,22) (1,22) (1,15) (5,22) (5,23);
set El[24] := (1,2) (2,3) (3,14) (14,16) (16,17) (1,17) (2,14) (3,16) (1,14) (2,16) (1,3) (3,17);
