data;

param num_top:=30;

#nodes and edges of the physical network
param n := 23;

set E := (1,2) (1,3) (1,4) (1,5) (1,6) (2,3) (2,8) (3,13) (3,9) (4,5) (4,13) (4,14) (4,16) (5,16) (5,18) (6,7) (6,18) (7,8) (7,21) (7,22) (7,23) (8,23) (9,10) (9,11) (9,13) (10,11) (10,12) (10,13) (11,12) (12,13) (12,15) (14,15) (14,20) (15,20) (16,17) (16,19) (16,20) (17,18) (17,19) (18,21) (19,20) (21,22) (22,23) ;

#nodes and edges of the virtual networks
set Nl[1] := 2 7 10 12 17 18;
set Nl[2] := 1 2 8 11 14 18;
set Nl[3] := 5 8 9 13 19 23;
set Nl[4] := 3 14 16 17 22 23;
set Nl[5] := 2 4 10 11 12 16;
set Nl[6] := 9 12 14 15 16 17;
set Nl[7] := 1 4 8 13 18 22;
set Nl[8] := 10 12 13 15 22 23;
set Nl[9] := 9 11 12 17 19 22;
set Nl[10] := 1 7 12 15 20 23;
set Nl[11] := 4 6 8 14 17 19;
set Nl[12] := 2 3 6 11 13 20;
set Nl[13] := 3 9 13 16 20 23;
set Nl[14] := 2 6 7 8 14 19;
set Nl[15] := 1 2 15 17 19 20;
set Nl[16] := 8 10 14 16 18 22;
set Nl[17] := 1 4 11 13 17 22;
set Nl[18] := 1 3 4 5 15 22;
set Nl[19] := 4 7 15 17 18 19;
set Nl[20] := 3 13 15 16 22 23;
set Nl[21] := 7 10 14 15 18 23;
set Nl[22] := 1 3 4 10 21 22;
set Nl[23] := 2 8 9 13 15 16;
set Nl[24] := 3 8 13 18 21 23;
set Nl[25] := 5 12 13 16 18 23;
set Nl[26] := 6 8 14 16 19 22;
set Nl[27] := 3 4 5 17 19 21;
set Nl[28] := 1 3 6 12 17 19;
set Nl[29] := 5 7 9 17 18 19;
set Nl[30] := 2 3 6 9 10 13;

set El[1] := (2,7) (7,10) (10,12) (12,17) (17,18) (2,18) (7,17) (7,18) (2,17) (10,18) (2,12);
set El[2] := (1,11) (2,11) (2,14) (8,14) (8,18) (1,18) (2,18) (1,2) (14,18) (11,14) (1,8);
set El[3] := (5,13) (9,13) (9,23) (8,23) (8,19) (5,19) (8,13) (5,23) (13,23) (5,8) (8,9);
set El[4] := (3,14) (14,16) (16,17) (17,22) (22,23) (3,23) (3,16) (14,23) (16,22) (3,22) (14,22);
set El[5] := (2,11) (4,11) (4,12) (10,12) (10,16) (2,16) (4,10) (4,16) (2,4) (11,12) (10,11);
set El[6] := (9,12) (12,14) (14,15) (15,16) (16,17) (9,17) (12,16) (9,14) (12,15) (15,17) (14,17);
set El[7] := (1,13) (4,13) (4,18) (8,18) (8,22) (1,22) (8,13) (13,22) (4,8) (18,22) (4,22);
set El[8] := (10,12) (12,13) (13,15) (15,22) (22,23) (10,23) (12,22) (10,15) (10,13) (12,23) (12,15);
set El[9] := (9,11) (11,12) (12,17) (17,19) (19,22) (9,22) (9,12) (9,19) (11,22) (12,22) (9,17);
set El[10] := (1,15) (12,15) (12,23) (7,23) (7,20) (1,20) (20,23) (12,20) (7,15) (1,12) (7,12);
set El[11] := (4,6) (6,8) (8,14) (14,17) (17,19) (4,19) (4,17) (14,19) (6,17) (8,19) (6,19);
set El[12] := (2,11) (3,11) (3,13) (6,13) (6,20) (2,20) (2,13) (6,11) (2,3) (11,13) (13,20);
set El[13] := (3,9) (9,13) (13,16) (16,20) (20,23) (3,23) (9,23) (3,16) (3,13) (13,20) (13,23);
set El[14] := (2,6) (6,7) (7,8) (8,14) (14,19) (2,19) (2,8) (7,19) (6,14) (8,19) (6,19);
set El[15] := (1,2) (2,15) (15,17) (17,19) (19,20) (1,20) (15,20) (1,17) (1,19) (15,19) (1,15);
set El[16] := (8,16) (10,16) (10,18) (14,18) (14,22) (8,22) (10,22) (10,14) (8,10) (16,18) (8,14);
set El[17] := (1,13) (4,13) (4,17) (11,17) (11,22) (1,22) (13,22) (1,11) (17,22) (4,22) (1,17);
set El[18] := (1,5) (3,5) (3,15) (4,15) (4,22) (1,22) (5,22) (3,22) (15,22) (4,5) (1,4);
set El[19] := (4,17) (7,17) (7,18) (15,18) (15,19) (4,19) (15,17) (4,15) (7,15) (17,19) (17,18);
set El[20] := (3,13) (13,15) (15,16) (16,22) (22,23) (3,23) (13,16) (3,15) (13,22) (3,16) (15,22);
set El[21] := (7,15) (10,15) (10,18) (14,18) (14,23) (7,23) (7,18) (18,23) (10,14) (10,23) (15,18);
set El[22] := (1,3) (3,4) (4,10) (10,21) (21,22) (1,22) (1,10) (4,21) (3,10) (1,21) (4,22);
set El[23] := (2,8) (8,9) (9,13) (13,15) (15,16) (2,16) (8,13) (9,15) (2,15) (2,13) (8,16);
set El[24] := (3,13) (8,13) (8,21) (21,23) (18,23) (3,18) (18,21) (3,21) (13,21) (3,23) (13,18);
set El[25] := (5,16) (12,16) (12,18) (13,18) (13,23) (5,23) (5,13) (18,23) (12,13) (16,18) (12,23);
set El[26] := (6,16) (14,16) (14,22) (8,22) (8,19) (6,19) (8,16) (16,22) (6,14) (19,22) (14,19);
set El[27] := (3,17) (4,17) (4,19) (5,19) (5,21) (3,21) (4,5) (17,19) (4,21) (19,21) (3,4);
set El[28] := (1,12) (3,12) (3,17) (6,17) (6,19) (1,19) (6,12) (1,3) (17,19) (1,17) (3,19);
set El[29] := (5,17) (7,17) (7,18) (9,18) (9,19) (5,19) (7,19) (5,9) (17,19) (5,18) (7,9);
set El[30] := (2,3) (3,6) (6,9) (9,10) (10,13) (2,13) (9,13) (2,6) (6,13) (3,9) (2,9);
