data;

param num_top:=18;

#nodes and edges of the physical network
param n := 23;

set E := (1,2) (1,3) (1,4) (1,5) (1,6) (2,3) (2,8) (3,13) (3,9) (4,5) (4,13) (4,14) (4,16) (5,16) (5,18) (6,7) (6,18) (7,8) (7,21) (7,22) (7,23) (8,23) (9,10) (9,11) (9,13) (10,11) (10,12) (10,13) (11,12) (12,13) (12,15) (14,15) (14,20) (15,20) (16,17) (16,19) (16,20) (17,18) (17,19) (18,21) (19,20) (21,22) (22,23) ;

#nodes and edges of the virtual networks
set Nl[1] := 5 7 9 14 15 23;
set Nl[2] := 2 10 16 17 21 22;
set Nl[3] := 2 9 10 14 16 18;
set Nl[4] := 4 5 8 9 12 14;
set Nl[5] := 2 15 16 17 18 22;
set Nl[6] := 6 9 10 17 22 23;
set Nl[7] := 8 10 11 13 15 16;
set Nl[8] := 3 6 16 18 20 22;
set Nl[9] := 1 2 4 5 6 10;
set Nl[10] := 3 11 12 18 19 21;
set Nl[11] := 6 7 10 13 14 17;
set Nl[12] := 4 5 10 18 22 23;
set Nl[13] := 6 14 16 19 20 23;
set Nl[14] := 2 3 4 8 14 21;
set Nl[15] := 6 7 12 15 17 22;
set Nl[16] := 5 7 12 16 17 23;
set Nl[17] := 4 7 13 18 20 21;
set Nl[18] := 5 6 10 11 19 20;

set El[1] := (5,14) (9,14) (9,23) (7,23) (7,15) (5,15) (5,9) (5,23) (9,15) (14,23) (7,14) (15,23) (7,9) (5,7);
set El[2] := (2,10) (10,16) (16,17) (17,21) (21,22) (2,22) (2,16) (2,21) (2,17) (16,21) (10,22) (17,22) (16,22) (10,21);
set El[3] := (2,9) (9,10) (10,14) (14,16) (16,18) (2,18) (9,16) (9,18) (2,10) (2,14) (10,16) (10,18) (9,14) (2,16);
set El[4] := (4,9) (5,9) (5,12) (8,12) (8,14) (4,14) (5,14) (12,14) (9,12) (5,8) (9,14) (4,5) (4,12) (8,9);
set El[5] := (2,15) (15,16) (16,17) (17,18) (18,22) (2,22) (15,22) (2,17) (16,22) (2,18) (16,18) (17,22) (2,16) (15,17);
set El[6] := (6,9) (9,10) (10,17) (17,22) (22,23) (6,23) (17,23) (9,22) (6,17) (10,23) (10,22) (6,10) (9,23) (6,22);
set El[7] := (8,13) (10,13) (10,15) (11,15) (11,16) (8,16) (13,16) (11,13) (10,11) (10,16) (15,16) (13,15) (8,10) (8,15);
set El[8] := (3,18) (6,18) (6,20) (16,20) (16,22) (3,22) (18,20) (20,22) (3,16) (18,22) (3,6) (6,22) (3,20) (16,18);
set El[9] := (1,5) (2,5) (2,6) (4,6) (4,10) (1,10) (1,6) (2,4) (5,6) (5,10) (1,4) (2,10) (1,2) (4,5);
set El[10] := (3,11) (11,12) (12,18) (18,19) (19,21) (3,21) (18,21) (11,18) (3,12) (3,19) (3,18) (11,21) (12,21) (12,19);
set El[11] := (6,13) (7,13) (7,14) (10,14) (10,17) (6,17) (7,10) (6,7) (6,10) (13,14) (7,17) (14,17) (10,13) (13,17);
set El[12] := (4,5) (5,10) (10,18) (18,22) (22,23) (4,23) (4,22) (18,23) (5,22) (10,22) (5,23) (4,18) (5,18) (4,10);
set El[13] := (6,19) (14,19) (14,20) (16,20) (16,23) (6,23) (6,16) (16,19) (19,23) (6,20) (14,16) (6,14) (19,20) (14,23);
set El[14] := (2,3) (3,4) (4,14) (8,14) (8,21) (2,21) (3,14) (2,8) (3,21) (4,21) (2,4) (4,8) (3,8) (2,14);
set El[15] := (6,15) (12,15) (12,22) (7,22) (7,17) (6,17) (15,22) (17,22) (7,15) (6,7) (15,17) (6,22) (6,12) (7,12);
set El[16] := (5,16) (12,16) (12,23) (7,23) (7,17) (5,17) (5,7) (7,16) (7,12) (16,17) (17,23) (5,12) (5,23) (12,17);
set El[17] := (4,18) (13,18) (13,21) (7,21) (7,20) (4,20) (7,18) (4,7) (18,21) (13,20) (20,21) (4,21) (18,20) (4,13);
set El[18] := (5,11) (6,11) (6,19) (10,19) (10,20) (5,20) (6,10) (11,20) (10,11) (19,20) (6,20) (5,6) (11,19) (5,19);
