data;

param num_top:=12;

#nodes and edges of the physical network
param n := 23;

set E := (1,2) (1,3) (1,4) (1,5) (1,6) (2,3) (2,8) (3,13) (3,9) (4,5) (4,13) (4,14) (4,16) (5,16) (5,18) (6,7) (6,18) (7,8) (7,21) (7,22) (7,23) (8,23) (9,10) (9,11) (9,13) (10,11) (10,12) (10,13) (11,12) (12,13) (12,15) (14,15) (14,20) (15,20) (16,17) (16,19) (16,20) (17,18) (17,19) (18,21) (19,20) (21,22) (22,23) ;

#nodes and edges of the virtual networks
set Nl[1] := 3 6 9 17 20 21;
set Nl[2] := 1 2 5 8 16 22;
set Nl[3] := 9 12 13 14 18 21;
set Nl[4] := 1 5 6 11 20 22;
set Nl[5] := 8 10 13 17 20 21;
set Nl[6] := 7 10 11 15 18 20;
set Nl[7] := 7 9 10 12 20 21;
set Nl[8] := 1 2 6 9 10 22;
set Nl[9] := 2 5 9 11 12 17;
set Nl[10] := 2 4 5 8 18 23;
set Nl[11] := 5 9 16 19 21 22;
set Nl[12] := 3 6 8 13 17 19;

set El[1] := (3,17) (6,17) (6,20) (9,20) (9,21) (3,21) (6,9) (3,20) (3,9) (9,17) (17,21) (3,6) (6,21);
set El[2] := (1,2) (2,5) (5,16) (8,16) (8,22) (1,22) (2,22) (2,16) (2,8) (16,22) (1,5) (5,22) (1,8);
set El[3] := (9,12) (12,13) (13,14) (14,18) (18,21) (9,21) (9,14) (12,18) (13,21) (13,18) (12,14) (9,13) (12,21);
set El[4] := (1,11) (5,11) (5,20) (6,20) (6,22) (1,22) (11,22) (11,20) (20,22) (5,6) (5,22) (1,5) (1,6);
set El[5] := (8,17) (10,17) (10,20) (13,20) (13,21) (8,21) (10,21) (10,13) (8,10) (13,17) (8,20) (17,21) (20,21);
set El[6] := (7,10) (10,11) (11,15) (15,18) (18,20) (7,20) (10,15) (7,15) (7,11) (11,18) (10,18) (7,18) (10,20);
set El[7] := (7,12) (9,12) (9,20) (10,20) (10,21) (7,21) (7,9) (12,20) (10,12) (7,10) (9,21) (7,20) (12,21);
set El[8] := (1,9) (2,9) (2,10) (6,10) (6,22) (1,22) (9,10) (1,2) (2,6) (9,22) (2,22) (6,9) (10,22);
set El[9] := (2,11) (5,11) (5,12) (9,12) (9,17) (2,17) (12,17) (11,17) (9,11) (2,5) (5,17) (11,12) (2,12);
set El[10] := (2,4) (4,5) (5,18) (8,18) (8,23) (2,23) (5,8) (2,8) (2,5) (4,18) (5,23) (4,23) (18,23);
set El[11] := (5,9) (9,16) (16,19) (19,21) (21,22) (5,22) (16,22) (5,16) (19,22) (9,21) (9,19) (5,19) (16,21);
set El[12] := (3,13) (6,13) (6,17) (8,17) (8,19) (3,19) (17,19) (3,8) (3,6) (6,8) (13,19) (13,17) (6,19);
