data;

param num_top:=10;

#nodes and edges of the physical network
param n := 23;

set E := (1,2) (1,3) (1,4) (1,5) (1,6) (2,3) (2,8) (3,13) (3,9) (4,5) (4,13) (4,14) (4,16) (5,16) (5,18) (6,7) (6,18) (7,8) (7,21) (7,22) (7,23) (8,23) (9,10) (9,11) (9,13) (10,11) (10,12) (10,13) (11,12) (12,13) (12,15) (14,15) (14,20) (15,20) (16,17) (16,19) (16,20) (17,18) (17,19) (18,21) (19,20) (21,22) (22,23) ;

#nodes and edges of the virtual networks
set Nl[1] := 5 9 12 15 22;
set Nl[2] := 2 3 15 17 19;
set Nl[3] := 6 13 16 18 23;
set Nl[4] := 2 6 8 15 20;
set Nl[5] := 5 7 9 13 20;
set Nl[6] := 1 15 16 20 23;
set Nl[7] := 7 14 16 19 20;
set Nl[8] := 7 9 12 14 22;
set Nl[9] := 4 7 9 14 15;
set Nl[10] := 16 17 18 22 23;

set El[1] := (5,9) (9,22) (15,22) (12,15) (5,12) (9,15) (5,15) (12,22) (5,22) (9,12);
set El[2] := (2,3) (3,19) (17,19) (15,17) (2,15) (15,19) (2,17) (3,15) (3,17) (2,19);
set El[3] := (6,13) (13,23) (18,23) (16,18) (6,16) (13,16) (13,18) (16,23) (6,23) (6,18);
set El[4] := (2,6) (6,20) (15,20) (8,15) (2,8) (6,8) (2,15) (6,15) (2,20) (8,20);
set El[5] := (5,7) (7,20) (13,20) (9,13) (5,9) (7,13) (5,20) (5,13) (7,9) (9,20);
set El[6] := (1,15) (15,23) (20,23) (16,20) (1,16) (16,23) (1,23) (1,20) (15,16) (15,20);
set El[7] := (7,14) (14,20) (19,20) (16,19) (7,16) (16,20) (14,19) (7,19) (7,20) (14,16);
set El[8] := (7,12) (9,12) (9,14) (14,22) (7,22) (12,22) (12,14) (7,9) (7,14) (9,22);
set El[9] := (4,7) (7,15) (14,15) (9,14) (4,9) (7,14) (4,14) (9,15) (7,9) (4,15);
set El[10] := (16,17) (17,23) (22,23) (18,22) (16,18) (16,22) (17,18) (18,23) (17,22) (16,23);
